loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose;loose;free;player;free;loose
loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose;loose;loose;free;loose;loose
loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose;loose
